senTaskId,taskname,tasktype,ispomo,duration
1,"Demo Item 1, inclusive comma (from server)",8,true,-1
2,"Continuing Item 1 (from server)",4,true,-1
3,"Continuing Item 2 (from server)",4,true,-1
4,"Ün Ümläütext",1,true,-1
5,"Continuing item 3 (from server)",4,true,-1
6,"Continuing item 4 (from server)",4,true,-1
7,"Demo Item 3 (from server)",2,true,-1
8,"Untimed item 1",10,false,-1
9,"Untimed item 2",10,false,-1
10,"Something else",3,false,-1
11,"Something else 11",3,true,-1
12,"Something else 12",3,true,-1
13,"Something else 13",3,true,-1
14,"Something else 14",3,true,-1
15,"Something else 15",3,false,-1
16,"Something else 16",3,true,-1
17,"Something else 17",3,true,-1
18,"Something else 18",3,true,-1
19,"Something else 19",3,true,-1
20,"Something else 20",3,true,-1
21,"Something else 21",3,true,-1
22,"Something else 22",3,true,-1
23,"Something else 23",3,true,-1
24,"Something else 24",3,true,-1
25,"Something else 25",3,true,-1
26,"Something else 26",3,true,-1
27,"Something else 27",3,true,-1
28,"Something else 28",3,true,-1
29,"Something else 29",3,true,-1
30,"Something else 30",3,true,-1
31,"Something else 31",3,true,-1
32,"Something else 32",3,true,-1
33,"Something else 33",3,true,-1
34,"Something else 34",3,true,-1
35,"Something else 35",3,true,-1
36,"Something else 36",3,true,-1
37,"Something else 37",3,true,-1
38,"Something else 38",3,true,-1
39,"Something else 39",3,true,-1
40,"Something else 40",3,true,-1
41,"Something else 41",3,true,-1
42,"Something else 42",3,true,-1
43,"Something else 43",3,true,-1
44,"Something else 44",3,true,-1
45,"Something else 45",3,true,-1
46,"Something else 46",3,true,-1
47,"Something else 47",3,true,-1
48,"Something else 48",3,true,-1
49,"Something else 49",3,true,-1
50,"Something else 50",3,true,-1